Date,Open,High,Low,Close,Volume,Currency
2020-06-01,9.4545,10.3018,9.4297,10.1893,796676,USD
2020-06-02,10.190700000000001,10.2073,9.347299999999999,9.5276,1058556,USD
2020-06-03,9.527,9.667200000000001,9.421700000000001,9.667200000000001,558116,USD
2020-06-04,9.667200000000001,9.8644,9.4909,9.7944,593664,USD
2020-06-05,9.794,9.8461,9.6287,9.631200000000002,527054,USD
2020-06-06,9.630799999999999,9.7331,9.5495,9.6696,370853,USD
2020-06-07,9.6696,9.791799999999999,9.417399999999999,9.7426,549197,USD
2020-06-08,9.7434,9.788200000000002,9.6623,9.777899999999999,431039,USD
2020-06-09,9.777700000000001,9.8572,9.6166,9.768799999999999,479550,USD
2020-06-10,9.768799999999999,9.9709,9.710700000000001,9.8788,533554,USD
2020-06-11,9.8789,9.945200000000002,9.139100000000001,9.2832,919302,USD
2020-06-12,9.283700000000001,9.5475,9.2494,9.4666,529284,USD
2020-06-13,9.4665,9.4849,9.3699,9.4713,364968,USD
2020-06-14,9.4707,9.4747,9.2644,9.3453,311265,USD
2020-06-15,9.3455,9.489700000000001,8.925600000000001,9.4254,750903,USD
2020-06-16,9.425600000000001,9.5771,9.379299999999999,9.5235,545468,USD
2020-06-17,9.5236,9.5436,9.2582,9.4646,446448,USD
2020-06-18,9.4646,9.4804,9.289299999999999,9.3881,391667,USD
2020-06-19,9.3903,9.424,9.249600000000001,9.314,478485,USD
2020-06-20,9.314,9.3945,9.1998,9.358799999999999,383439,USD
2020-06-21,9.358799999999999,9.411200000000001,9.2885,9.2964,335994,USD
2020-06-22,9.2965,9.7519,9.2858,9.6837,523319,USD
2020-06-23,9.6839,9.7156,9.5818,9.624600000000001,375494,USD
2020-06-24,9.624600000000001,9.667399999999999,9.223,9.302,515777,USD
2020-06-25,9.300799999999999,9.3273,9.0226,9.2475,524453,USD
2020-06-26,9.2475,9.2965,9.0601,9.16,489836,USD
2020-06-27,9.1605,9.1905,8.8653,9.008299999999998,441927,USD
2020-06-28,9.0084,9.1855,8.9502,9.124,329013,USD
2020-06-29,9.1228,9.2291,9.0336,9.1854,401120,USD
2020-06-30,9.186,9.1998,9.075299999999999,9.135399999999999,381725,USD
2020-07-01,9.1359,9.289,9.1011,9.229899999999999,366784,USD
2020-07-02,9.229899999999999,9.2597,8.9621,9.0851,483099,USD
2020-07-03,9.085,9.1204,9.0509,9.0671,333884,USD
2020-07-04,9.0671,9.1823,9.0496,9.1344,261246,USD
2020-07-05,9.1343,9.1496,8.9321,9.081,314102,USD
2020-07-06,9.0804,9.363,9.0632,9.339,510271,USD
2020-07-07,9.338799999999999,9.3712,9.209299999999999,9.256,420545,USD
2020-07-08,9.2563,9.4583,9.2331,9.4299,509935,USD
2020-07-09,9.4301,9.4345,9.176,9.235700000000001,444274,USD
2020-07-10,9.239,9.3098,9.1319,9.2851,418469,USD
2020-07-11,9.2858,9.2955,9.1842,9.2333,353916,USD
2020-07-12,9.234200000000001,9.3378,9.170399999999999,9.300799999999999,366879,USD
2020-07-13,9.3005,9.329600000000001,9.207600000000001,9.2436,456873,USD
2020-07-14,9.2431,9.274799999999999,9.1357,9.2534,453834,USD
2020-07-15,9.2536,9.2702,9.168700000000001,9.1987,429837,USD
