Date,Open,High,Low,Close,Volume,Currency
2020-06-01,0.20254,0.21184,0.20132,0.2109,1662996864,USD
2020-06-02,0.2109,0.21452,0.19826,0.20317,2046863744,USD
2020-06-03,0.20316,0.20475,0.20104,0.20411,1226735360,USD
2020-06-04,0.20411,0.20713,0.20121,0.20438,1357705728,USD
2020-06-05,0.20438,0.20567,0.20174,0.20282,1165720704,USD
2020-06-06,0.20282,0.20476,0.20144,0.2037,850996800,USD
2020-06-07,0.2037,0.20495,0.19902,0.20334,996832704,USD
2020-06-08,0.20334,0.20428,0.2014,0.20408,799775040,USD
2020-06-09,0.20409,0.20499,0.20036,0.20133,933539840,USD
2020-06-10,0.20132,0.20376,0.20019,0.2027,911778048,USD
2020-06-11,0.20271,0.20343,0.18544,0.18838,1381063296,USD
2020-06-12,0.18837,0.19499,0.1871,0.19304,903446720,USD
2020-06-13,0.19304,0.19373,0.19093,0.19241,706601408,USD
2020-06-14,0.19241,0.19248,0.18894,0.19029,671964096,USD
2020-06-15,0.19029,0.19337,0.1824,0.19241,1293282432,USD
2020-06-16,0.19242,0.19389,0.19021,0.19239,798674368,USD
2020-06-17,0.19238,0.19852,0.1889,0.19318,1031072576,USD
2020-06-18,0.19318,0.1932,0.18829,0.18978,852100416,USD
2020-06-19,0.18978,0.19002,0.18672,0.18727,1005845504,USD
2020-06-20,0.18727,0.18894,0.18539,0.18793,692331904,USD
2020-06-21,0.18793,0.1884,0.18577,0.18606,623938624,USD
2020-06-22,0.18606,0.19018,0.18584,0.18941,1066312000,USD
2020-06-23,0.18942,0.19042,0.18839,0.18886,793852224,USD
2020-06-24,0.18886,0.1901,0.18179,0.18351,1010395648,USD
2020-06-25,0.18352,0.18406,0.17897,0.18155,912398528,USD
2020-06-26,0.18155,0.18679,0.17876,0.18248,1107919744,USD
2020-06-27,0.18249,0.18342,0.16947,0.17514,975543744,USD
2020-06-28,0.17514,0.1796,0.17349,0.17688,856627392,USD
2020-06-29,0.17687,0.17913,0.17518,0.17725,880970176,USD
2020-06-30,0.17724,0.17756,0.17497,0.17532,639094784,USD
2020-07-01,0.17531,0.1781,0.17393,0.17645,773686144,USD
2020-07-02,0.17644,0.17712,0.1724,0.17478,925563648,USD
2020-07-03,0.17478,0.17852,0.17443,0.1764,802843072,USD
2020-07-04,0.17634,0.1795,0.17604,0.17808,773848384,USD
2020-07-05,0.17808,0.17876,0.17401,0.17711,777705024,USD
2020-07-06,0.17704,0.18908,0.17645,0.18875,1247134848,USD
2020-07-07,0.18875,0.18957,0.18321,0.18512,935864192,USD
2020-07-08,0.18512,0.20659,0.18402,0.20544,2166273536,USD
2020-07-09,0.20545,0.21161,0.1975,0.20261,2281945088,USD
2020-07-10,0.20261,0.20264,0.19338,0.19898,1359863296,USD
2020-07-11,0.19898,0.2046,0.19812,0.20115,1129016192,USD
2020-07-12,0.20114,0.20385,0.19798,0.20119,863294144,USD
2020-07-13,0.20119,0.20645,0.19412,0.19872,1309802112,USD
2020-07-14,0.19872,0.19972,0.19509,0.19911,948659200,USD
2020-07-15,0.19911,0.19974,0.19654,0.19723,772565760,USD
2020-07-16,0.19724,0.19752,0.18907,0.19441,1045230208,USD
2020-07-17,0.19442,0.19798,0.19141,0.19448,910351744,USD
2020-07-18,0.19448,0.20197,0.19403,0.19989,988422336,USD
2020-07-19,0.19988,0.20198,0.19588,0.19953,877534016,USD
2020-07-20,0.19954,0.20008,0.19286,0.19469,946402432,USD
2020-07-21,0.19468,0.20085,0.19399,0.19947,998165760,USD
2020-07-22,0.19947,0.20437,0.1962,0.20356,1001729088,USD
2020-07-23,0.20356,0.21006,0.20164,0.20851,1421268096,USD
2020-07-24,0.2085,0.2085,0.20205,0.20401,1021788864,USD
2020-07-25,0.20401,0.21741,0.20367,0.21463,1261953024,USD
2020-07-26,0.21464,0.22492,0.21295,0.21526,1546521728,USD
2020-07-27,0.21527,0.2289,0.21005,0.22433,2097322752,USD
2020-07-28,0.22433,0.2346,0.21729,0.23041,2001966080,USD
2020-07-29,0.23041,0.25,0.22955,0.24319,2443461888,USD
2020-07-30,0.24096,0.24941,0.23742,0.24417,1933747200,USD
2020-07-31,0.24415,0.26039,0.2418,0.25947,1779268736,USD
2020-08-01,0.25945,0.29743,0.25576,0.291,3303446528,USD
2020-08-02,0.29101,0.32523,0.25562,0.28787,5374993408,USD
2020-08-03,0.28791,0.31971,0.28482,0.31005,3329006336,USD
2020-08-04,0.31005,0.31873,0.29153,0.30129,2739997696,USD
2020-08-05,0.30136,0.30789,0.29175,0.30249,2066357376,USD
2020-08-06,0.30248,0.31065,0.29743,0.30316,1821054592,USD
2020-08-07,0.30316,0.31003,0.28165,0.29444,1877519104,USD
2020-08-08,0.29444,0.29864,0.29027,0.29525,1097434752,USD
2020-08-09,0.29526,0.29828,0.28236,0.28795,1176324224,USD
2020-08-10,0.28795,0.29993,0.2851,0.29464,1968342784,USD
2020-08-11,0.29465,0.30713,0.27077,0.28293,2647905536,USD
2020-08-12,0.28292,0.28719,0.27266,0.28231,1966941312,USD
2020-08-13,0.28232,0.29536,0.27298,0.29435,2002269312,USD
2020-08-14,0.29434,0.30708,0.29097,0.30006,2095010560,USD
2020-08-15,0.30006,0.30522,0.29364,0.29886,1810796672,USD
2020-08-16,0.29882,0.30467,0.29243,0.30447,1737142528,USD
2020-08-17,0.30446,0.32667,0.29746,0.31513,2746874112,USD
2020-08-18,0.3152,0.32152,0.2985,0.30255,2147984640,USD
2020-08-19,0.30255,0.30587,0.27942,0.28979,1988950912,USD
2020-08-20,0.28979,0.2944,0.2847,0.29217,1224809344,USD
2020-08-21,0.29215,0.29575,0.27792,0.27921,1528897664,USD
2020-08-22,0.27921,0.28661,0.27353,0.28611,1216485248,USD
2020-08-23,0.28609,0.28794,0.27761,0.28477,969029888,USD
2020-08-24,0.2848,0.29193,0.28236,0.28857,988013504,USD
2020-08-25,0.28856,0.28957,0.27047,0.27641,1304892672,USD
2020-08-26,0.27641,0.28055,0.27404,0.27647,1102132608,USD
2020-08-27,0.27647,0.27826,0.25489,0.26455,1563956992,USD
2020-08-28,0.26456,0.27313,0.26005,0.27168,1178547968,USD
2020-08-29,0.27167,0.2768,0.26872,0.27384,952890240,USD
2020-08-30,0.27384,0.28383,0.27381,0.28303,1158108544,USD
2020-08-31,0.28303,0.2845,0.27813,0.28117,1158742016,USD
2020-09-01,0.28114,0.29881,0.27632,0.29542,1627356416,USD
2020-09-02,0.29533,0.30373,0.26565,0.27602,2076626304,USD
2020-09-03,0.27602,0.27647,0.2397,0.2443,2073757568,USD
2020-09-04,0.2443,0.26547,0.24113,0.25404,2073695360,USD
2020-09-05,0.25403,0.25941,0.23152,0.23736,2216064256,USD
2020-09-06,0.23737,0.2434,0.22977,0.23984,1782105344,USD
2020-09-07,0.23985,0.24285,0.22986,0.24207,1771767296,USD
2020-09-08,0.242,0.24355,0.23133,0.2365,1748003712,USD
2020-09-09,0.2365,0.24273,0.23312,0.23904,1433626240,USD
2020-09-10,0.23901,0.24858,0.23888,0.24312,1556305664,USD
2020-09-11,0.24311,0.24441,0.23701,0.24257,1346810112,USD
2020-09-12,0.24258,0.24873,0.24023,0.24748,1353991424,USD
2020-09-13,0.24741,0.25336,0.23778,0.24206,1019234432,USD
2020-09-14,0.24203,0.24833,0.23915,0.2457,1066810944,USD
2020-09-15,0.24559,0.24939,0.24218,0.24331,1068335680,USD
2020-09-16,0.24331,0.25112,0.23431,0.24674,1088483328,USD
2020-09-17,0.24683,0.25821,0.24614,0.25209,1099547264,USD
2020-09-18,0.25214,0.25523,0.24641,0.25061,1086172672,USD
2020-09-19,0.25061,0.25459,0.24748,0.25111,862879296,USD
2020-09-20,0.25082,0.25131,0.2425,0.24641,774896256,USD
2020-09-21,0.2466,0.24808,0.22928,0.23083,1240188032,USD
2020-09-22,0.23079,0.23451,0.22942,0.23295,835783296,USD
2020-09-23,0.23297,0.23503,0.22042,0.22145,705558720,USD
2020-09-24,0.22146,0.23383,0.21955,0.23273,791787584,USD
2020-09-25,0.23279,0.24467,0.22962,0.24155,875930752,USD
2020-09-26,0.24149,0.24546,0.23776,0.24157,939301888,USD
2020-09-27,0.24151,0.24468,0.23743,0.24339,943952384,USD
2020-09-28,0.24331,0.24838,0.24017,0.24099,1399760512,USD
2020-09-29,0.24105,0.24661,0.23845,0.24274,1249066240,USD
2020-09-30,0.24288,0.24288,0.23774,0.24174,1220208128,USD
2020-10-01,0.24183,0.24439,0.23418,0.23826,1243268736,USD
2020-10-02,0.23824,0.23934,0.22849,0.2339,1229551744,USD
2020-10-03,0.23396,0.23523,0.23255,0.23273,1082976896,USD
2020-10-04,0.23265,0.25014,0.23152,0.24785,1304234880,USD
2020-10-05,0.24792,0.2542,0.24637,0.2503,1156223872,USD
2020-10-06,0.25051,0.25916,0.24074,0.24567,1411633280,USD
2020-10-07,0.24562,0.2514,0.24097,0.24872,1147161984,USD
2020-10-08,0.24862,0.25289,0.24208,0.25113,975374144,USD
2020-10-09,0.25117,0.25662,0.24957,0.25291,1247906176,USD
2020-10-10,0.25299,0.2601,0.25288,0.25392,1239508352,USD
2020-10-11,0.25391,0.25848,0.25327,0.25537,1128890752,USD
2020-10-12,0.2554,0.25819,0.24918,0.25606,1393557120,USD
2020-10-13,0.25596,0.25997,0.25277,0.25656,1290532352,USD
2020-10-14,0.25654,0.25831,0.24613,0.24912,1065576768,USD
2020-10-15,0.24912,0.25002,0.24307,0.24585,1131506560,USD
2020-10-16,0.24588,0.24784,0.23772,0.2402,1152488960,USD
2020-10-17,0.24022,0.24316,0.23869,0.24059,1113618944,USD
2020-10-18,0.24057,0.2434,0.24007,0.24233,1122819456,USD
2020-10-19,0.24216,0.24942,0.24013,0.24558,1077436032,USD
2020-10-20,0.24564,0.25021,0.24155,0.24324,1043819648,USD
2020-10-21,0.24324,0.25555,0.24261,0.25102,1123786496,USD
2020-10-22,0.25105,0.26354,0.25083,0.25718,1098925696,USD
2020-10-23,0.25701,0.25917,0.25022,0.25471,765490432,USD
2020-10-24,0.25471,0.2576,0.25256,0.25611,726897664,USD
2020-10-25,0.25611,0.25708,0.25122,0.25319,804280064,USD
2020-10-26,0.25311,0.25904,0.24363,0.24818,1002058624,USD
2020-10-27,0.24815,0.25396,0.24765,0.25265,897909504,USD
2020-10-28,0.25268,0.25667,0.24431,0.24549,990699200,USD
2020-10-29,0.24552,0.24702,0.23962,0.24247,982829696,USD
2020-10-30,0.24248,0.24389,0.23138,0.23897,972348032,USD
2020-10-31,0.23914,0.24347,0.23745,0.23972,872343296,USD
2020-11-01,0.23971,0.24132,0.23656,0.23989,861216896,USD
2020-11-02,0.2399,0.24455,0.2329,0.23526,1083449728,USD
2020-11-03,0.23528,0.24405,0.22803,0.23954,1028717376,USD
2020-11-04,0.23945,0.24039,0.23263,0.2375,1017225728,USD
2020-11-05,0.23743,0.24722,0.23711,0.2455,978751936,USD
2020-11-06,0.24567,0.26135,0.24512,0.25848,1069506112,USD
2020-11-07,0.25861,0.26725,0.24488,0.24897,976548416,USD
2020-11-08,0.24898,0.25693,0.24737,0.2538,843460352,USD
2020-11-09,0.25366,0.25613,0.24562,0.25043,1002566848,USD
2020-11-10,0.25054,0.26464,0.24807,0.25374,1068537792,USD
2020-11-11,0.25376,0.2599,0.25228,0.25569,834925184,USD
2020-11-12,0.2558,0.25814,0.25237,0.25486,738890816,USD
2020-11-13,0.25489,0.2656,0.25374,0.26548,942551168,USD
2020-11-14,0.26557,0.2771,0.26154,0.26808,1052204864,USD
2020-11-15,0.26813,0.27666,0.26412,0.26941,885335616,USD
2020-11-16,0.26949,0.28985,0.26748,0.28778,1074656000,USD
2020-11-17,0.28792,0.30487,0.28731,0.30226,1466065920,USD
2020-11-18,0.30226,0.30782,0.28225,0.29326,1352208640,USD
2020-11-19,0.29319,0.30705,0.28399,0.30374,1183211136,USD
2020-11-20,0.30358,0.3305,0.29717,0.32995,1453877504,USD
2020-11-21,0.3299,0.46804,0.32951,0.46343,3307814912,USD
2020-11-22,0.46288,0.49544,0.41077,0.44604,3837677568,USD
2020-11-23,0.44605,0.6189,0.43287,0.6151,3489585408,USD
2020-11-24,0.61546,0.77883,0.57752,0.69224,5301448704,USD
2020-11-25,0.6923,0.72288,0.58702,0.63224,3196704768,USD
2020-11-26,0.63206,0.65095,0.4593,0.53593,4587388416,USD
2020-11-27,0.53659,0.58549,0.50451,0.5612,2477545728,USD
2020-11-28,0.56135,0.64838,0.54032,0.62597,2499659264,USD
2020-11-29,0.62578,0.63606,0.58501,0.60534,1767032832,USD
2020-11-30,0.60533,0.67687,0.59974,0.66386,2265452288,USD
2020-12-01,0.66388,0.67952,0.58734,0.61084,2036343552,USD
2020-12-02,0.61132,0.63644,0.59552,0.63065,1201753344,USD
2020-12-03,0.6305,0.64141,0.61515,0.63032,897532800,USD
2020-12-04,0.63027,0.63388,0.544,0.55351,1315304192,USD
2020-12-05,0.55359,0.59567,0.54901,0.58532,987018176,USD
2020-12-06,0.58546,0.62717,0.58032,0.62135,1291159808,USD
2020-12-07,0.62158,0.62318,0.59144,0.60808,898962176,USD
2020-12-08,0.60813,0.61018,0.55189,0.55898,1182839040,USD
2020-12-09,0.55916,0.60371,0.50412,0.58285,1823590784,USD
2020-12-10,0.58285,0.5879,0.55403,0.57136,1150400128,USD
2020-12-11,0.57185,0.58519,0.52768,0.54787,1685436160,USD
2020-12-12,0.54666,0.54739,0.48577,0.50589,2151266304,USD
